producto,origen,fecha,cantidad (KG),precio (DOLARES),proveedor_id
Snapple Raspberry Tea,Morocco,27/5/2003,376,7306,1471
Wine - Zinfandel California 2002,France,16/11/2017,200,6997,1057
Pork - European Side Bacon,Indonesia,20/8/2013,296,7331,1211
Tomatoes - Roma,Comoros,18/9/2010,242,3856,1222
"Rum - White, Gg White",Poland,9/4/2003,320,6316,1270
Beer - Molson Excel,Russia,13/7/2020,314,5821,1030
Soup - Campbellschix Stew,China,17/10/2009,367,8908,1396
Pork - Belly Fresh,United States,27/7/2017,218,4207,1402
Cheese - St. Andre,China,6/4/2014,343,6063,1046
Carroway Seed,Indonesia,18/4/2003,393,4907,1491
"Lamb - Leg, Diced",Pakistan,20/6/2002,394,7329,1478
Pork Loin Bine - In Frenched,China,15/9/2011,188,5126,1077
Isomalt,United States,17/10/2012,187,1348,1261
Nutmeg - Ground,Curacao,11/7/2001,274,4471,1220
Longos - Grilled Chicken With,Indonesia,18/4/2011,289,8067,1294
Stainless Steel Cleaner Vision,China,13/5/2014,216,6398,1092
Plate Foam Laminated 9in Blk,Indonesia,9/1/2006,287,7696,1088
Wine - Fontanafredda Barolo,Cambodia,19/7/2006,-14,31698,1051
Pear - Halves,Argentina,1/10/2020,151,1901,1226
Wine - Sogrape Mateus Rose,China,3/5/2011,172,4766,1046
Apron,United States,21/10/2012,384,1736,1298
Wine - Taylors Reserve,Indonesia,27/5/2004,227,4976,1014
Appetizer - Assorted Box,France,3/1/2009,308,7886,1029
Chicken Breast Halal,Bosnia and Herzegovina,15/10/2010,225,4573,1333
Zucchini - Green,Brazil,9/11/2008,187,2962,1081
Sage - Rubbed,Philippines,14/7/2015,215,2850,1063
Bay Leaf Fresh,Democratic Republic of the Congo,28/4/2013,338,4906,1223
"Iced Tea - Lemon, 460 Ml",Russia,25/2/2017,295,6520,1152
Truffle Cups - Red,Indonesia,8/3/2016,28,509,1153
Mayonnaise,Japan,19/8/2012,265,2690,1123
Table Cloth 54x72 White,Czech Republic,11/12/2006,85,1821,1376
Snails - Large Canned,Ireland,8/8/2005,353,7021,1222
Potatoes - Pei 10 Oz,China,9/6/2002,64,1210,1443
"Artichoke - Bottom, Canned",Philippines,28/6/2018,186,4753,1267
Extract - Rum,Ireland,29/1/2001,208,2641,1167
Pork - Shoulder,Portugal,3/5/2009,383,5718,1141
Beans - Soya Bean,China,12/12/2012,225,3796,1432
Onions - Vidalia,Argentina,2/3/2016,578,10157,1193
Beer - Corona,Afghanistan,29/1/2009,148,1758,1055
Sauce - Caesar Dressing,France,25/8/2001,364,7878,1399
Wine - Chablis J Moreau Et Fils,Indonesia,1/1/2005,,25225,1259
"Seedlings - Buckwheat, Organic",Indonesia,23/10/2005,331,10856,1276
"Bread - Roll, Calabrese",Sweden,8/5/2002,248,5295,1241
"Wine - Red, Mouton Cadet",Greece,3/2/2017,345,8811,1091
Cheese - Montery Jack,China,21/7/2001,329,7362,1087
Appetizer - Sausage Rolls,Indonesia,21/6/2017,280,6567,1473
"Crab - Back Fin Meat, Canned",Tanzania,14/8/2020,411,11516,1280
Steam Pan - Half Size Deep,Brazil,10/4/2020,173,4641,1250
Steampan Lid,Honduras,30/8/2001,275,3054,1389
Lambcasing,Morocco,26/9/2002,408,4142,1318
Apple - Custard,China,31/5/2013,155,2389,1034
Tea - Camomele,Peru,9/9/2009,26,357,1450
Eel Fresh,Brazil,10/11/2018,253,2411,1288
"Beef - Ground, Extra Lean, Fresh",Russia,8/2/2017,346,10033,1138
"Pasta - Cappellini, Dry",Indonesia,15/2/2013,330,8192,1093
Cream Of Tartar,Poland,23/9/2014,234,3823,1340
Cocoa Feuilletine,China,19/1/2017,238,4240,1353
Fish - Bones,Macedonia,29/6/2004,415,5107,1128
"Ham - Smoked, Bone - In",Syria,18/4/2013,370,8020,1361
Cheese - Camembert,China,20/1/2009,,6049,1313
Breakfast Quesadillas,France,29/12/2008,342,6668,1120
Longos - Grilled Salmon With Bbq,Thailand,6/9/2003,30,980,1011
"Coffee - Beans, Whole",Russia,11/2/2007,382,8437,1385
Beef - Top Sirloin,Guatemala,26/5/2006,404,7117,1115
"Mushroom - Shitake, Dry",Argentina,3/7/2017,167,3894,1031
Sausage - Blood Pudding,Philippines,10/12/2002,270,6423,1297
"Oil - Shortening,liqud, Fry",Guatemala,31/7/2002,245,6546,1487
Sauce - Mint,Mexico,10/10/2010,233,2776,1120
Pasta - Cheese / Spinach Bauletti,China,15/10/2005,263,9270,1297
"Stock - Chicken, White",China,26/1/2003,248,5534,1488
Chicken - Tenderloin,China,30/12/2012,280,5380,1408
Salmon Steak - Cohoe 6 Oz,Mayotte,2/8/2011,431,10735,1255
"Dill - Primerba, Paste",Netherlands,30/11/2001,318,6988,1302
"Spoon - Soup, Plastic",Afghanistan,11/5/2015,137,2648,1234
Garlic - Peeled,Philippines,8/4/2002,207,3114,1108
"Pork - Butt, Boneless",Poland,27/2/2017,283,6257,1334
Wine - Placido Pinot Grigo,China,6/11/2018,353,9314,1075
Cheese - Camembert,Angola,4/12/2009,158,2731,1383
Mousse - Passion Fruit,Indonesia,13/3/2018,289,5750,1250
Cheese - Roquefort Pappillon,Indonesia,8/3/2013,289,8461,1154
"Doilies - 7, Paper",China,29/1/2006,170,2949,1270
Chivas Regal - 12 Year Old,Bangladesh,12/7/2004,222,5498,1321
Icecream Bar - Del Monte,Indonesia,19/1/2008,312,6857,1487
"Extract - Vanilla,artificial",Bulgaria,14/5/2008,111,3270,1156
Shark - Loin,Brazil,1/6/2006,208,2732,1101
Chips - Miss Vickies,Philippines,6/12/2010,203,3962,1001
Vodka - Smirnoff,French Polynesia,26/4/2007,378,6334,1156
Steamers White,Argentina,26/6/2007,305,4178,1167
Shrimp - Tiger 21/25,Japan,20/8/2012,528,11611,1327
"Appetizer - Mini Egg Roll, Shrimp",Russia,23/2/2012,286,10231,1122
Turkey - Oven Roast Breast,Poland,24/2/2015,,2676,1389
Ecolab Digiclean Mild Fm,China,1/1/2007,321,7479,1185
Cookie Dough - Oatmeal Rasin,France,22/8/2015,208,6171,1078
Cheese Cloth No 60,Indonesia,20/4/2017,208,3689,1150
"Garlic - Primerba, Paste",Indonesia,17/11/2005,-1,19666,1144
Soup - Boston Clam Chowder,Thailand,26/9/2016,159,3842,1362
Horseradish - Prepared,China,14/5/2001,315,6678,1039
"Mushroom - Morels, Dry",China,26/9/2001,319,7305,1430
Cup - Paper 10oz 92959,Philippines,17/5/2005,463,10831,1051
Bar - Granola Trail Mix Fruit Nut,Indonesia,3/11/2001,208,6568,1279
Soup - Campbells Mac N Cheese,Poland,27/11/2005,63,1972,1454
Ocean Spray - Ruby Red,Peru,9/6/2001,334,7306,1061
Plastic Arrow Stir Stick,Portugal,11/3/2004,330,8585,1048
"Tortillas - Flour, 10",Russia,22/1/2008,333,6294,1028
Ice Cream Bar - Oreo Cone,Indonesia,16/10/2001,438,10857,1131
Pear - Packum,China,25/10/2020,238,3122,1048
Cake - Night And Day Choclate,Paraguay,29/8/2006,330,8904,1050
Wine - Casillero Deldiablo,Philippines,13/2/2014,303,8000,1037
"Artichoke - Hearts, Canned",France,12/7/2010,394,9654,1324
Plasticspoonblack,China,17/9/2018,410,6981,1369
Apples - Spartan,China,3/10/2012,160,2609,1196
Pastry - Mini French Pastries,China,31/12/2007,312,8671,1359
Oil - Pumpkinseed,Poland,1/6/2020,478,8277,1265
Mustard Prepared,United States,16/3/2009,255,3679,1429
Dried Cherries,Philippines,11/5/2011,105,1461,1412
Chips - Assorted,France,5/8/2007,319,5585,1134
"Turkey - Breast, Boneless Sk On",China,23/12/2019,158,4420,1151
"Oil - Food, Lacquer Spray",Russia,5/11/2012,450,10826,1270
Ezy Change Mophandle,Indonesia,17/11/2001,-14,9448,1290
Tomatoes - Roma,Canada,6/1/2012,171,2815,1426
Beans - Fava Fresh,Russia,7/1/2005,331,5427,1339
Wasabi Powder,Niger,26/10/2019,232,3030,1107
Juice - Cranberry 284ml,Poland,12/3/2004,198,4659,1055
Flower - Commercial Spider,Hungary,26/12/2015,282,6924,1094
Red Currant Jelly,Poland,29/5/2020,392,6868,1126
Pork Loin Cutlets,Argentina,7/6/2015,136,2308,1017
Olive - Spread Tapenade,Portugal,12/11/2017,116,2628,1262
"Veal - Tenderloin, Untrimmed",Peru,5/9/2007,335,10271,1172
Container Clear 8 Oz,Argentina,14/12/2011,177,3446,1086
"Pork - Back, Long Cut, Boneless",China,3/9/2002,81,2584,1425
"Pepper - Black, Ground",Indonesia,17/11/2016,354,8393,1457
Bar - Sweet And Salty Chocolate,Canada,7/5/2007,63,2106,1107
"Water - Mineral, Carbonated",Colombia,22/4/2004,466,12828,1118
"Veal - Leg, Provimi - 50 Lb Max",Palestinian Territory,23/1/2009,482,13713,1262
Lettuce - Sea / Sea Asparagus,Greece,27/4/2009,288,7799,1007
Napkin - Beverage 1 Ply,Libya,28/4/2015,111,2324,1300
Garbag Bags - Black,Sri Lanka,5/12/2013,119,2367,1381
Pail For Lid 1537,Indonesia,18/9/2006,220,4092,1380
"Juice - Orange, Concentrate",Armenia,1/2/2006,279,7849,1465
Cherries - Fresh,Bulgaria,8/8/2005,243,4070,1465
Foam Dinner Plate,China,24/5/2011,384,6954,1251
Vinegar - White Wine,El Salvador,4/12/2002,,11145,1149
"Asparagus - White, Canned",Malaysia,17/6/2008,183,4315,1120
Squid - U - 10 Thailand,Poland,24/5/2007,334,8279,1126
Orange Roughy 4/6 Oz,China,22/7/2005,190,3669,1194
Cookie Dough - Peanut Butter,Indonesia,9/10/2017,264,7993,1190
Artichokes - Jerusalem,Greece,10/5/2002,304,6517,1447
English Muffin,Poland,7/5/2005,217,3239,1218
Wine - Toasted Head,Zimbabwe,22/2/2016,222,4532,1189
Cake - French Pear Tart,China,14/11/2015,613,13084,1263
Pepper - Red Bell,Philippines,23/2/2001,575,10252,1202
"Crab - Claws, 26 - 30",Macedonia,14/4/2017,303,6532,1415
Sprouts - Onion,Slovenia,14/2/2004,282,4313,1160
"Plate - Foam, Bread And Butter",China,5/8/2005,348,10582,1318
Wine - Alsace Gewurztraminer,China,18/11/2003,349,9924,1362
Bread - Multigrain Oval,China,13/7/2020,302,6385,1368
Yukon Jack,Portugal,17/4/2014,492,5059,1405
Buffalo - Tenderloin,China,29/7/2020,364,7399,1345
Onion Powder,China,22/3/2001,180,2278,1447
Sauce - Hoisin,Greece,10/8/2013,322,4222,1114
Gloves - Goldtouch Disposable,Mauritania,5/11/2001,402,12723,1230
Monkfish Fresh - Skin Off,Bangladesh,31/12/2018,244,6623,1220
"Veal - Chops, Split, Frenched",Czech Republic,27/11/2008,280,8584,1258
Soup - Campbells Chili Veg,China,5/5/2007,232,5835,1485
Wine - Rubyport,Albania,4/5/2005,213,3361,1459
Quiche Assorted,Poland,1/5/2012,266,4165,1305
Cups 10oz Trans,Czech Republic,25/2/2013,158,2533,1489
"Brownies - Two Bite, Chocolate",Mexico,21/2/2007,163,5270,1379
Nantucket - 518ml,Malaysia,10/4/2003,291,4780,1165
Vodka - Moskovskaya,Myanmar,9/5/2019,201,3757,1154
Chutney Sauce,China,18/10/2017,417,4915,1095
Potatoes - Fingerling 4 Oz,Indonesia,27/11/2017,229,6448,1016
"Crab - Blue, Frozen",Sweden,23/3/2020,115,2132,1493
Island Oasis - Peach Daiquiri,Indonesia,15/3/2015,399,12062,1234
Gelatine Leaves - Bulk,China,17/2/2007,396,9153,1361
Bonito Flakes - Toku Katsuo,Jamaica,25/6/2007,292,7848,1483
Puff Pastry - Slab,Bulgaria,1/8/2019,213,3679,1242
Scallops 60/80 Iqf,Indonesia,21/6/2017,-99,16583,1248
Cookie Choc,United States,4/3/2012,355,3542,1231
Coffee - Almond Amaretto,Lithuania,4/9/2011,379,9483,1484
Water - Spring Water 500ml,Indonesia,22/1/2020,469,11639,1081
Oil - Cooking Spray,China,18/8/2020,473,9273,1087
Southern Comfort,Albania,30/10/2002,300,4995,1493
Hog / Sausage Casing - Pork,Indonesia,6/5/2009,273,8017,1255
Bread - Onion Focaccia,Russia,3/8/2011,163,3507,1373
Bread - Sour Sticks With Onion,Indonesia,9/3/2016,290,8502,1296
Island Oasis - Lemonade,Indonesia,15/1/2020,235,5086,1071
Pepper - Orange,China,28/1/2011,235,3199,1299
Rice - 7 Grain Blend,Madagascar,19/5/2014,131,2457,1051
Coffee - Cafe Moreno,South Korea,3/3/2015,79,1622,1494
Compound - Rum,Japan,14/6/2008,447,5750,1212
Filter - Coffee,Panama,1/5/2016,15,214,1314
"Syrup - Monin, Swiss Choclate",Costa Rica,18/2/2017,204,6073,1183
"Pork - Butt, Boneless",Russia,26/1/2018,394,8855,1449
Potatoes - Idaho 100 Count,Ukraine,10/9/2002,220,5149,1296
Tomato - Green,Indonesia,2/9/2014,297,3829,1407
"Pepper - Black, Whole",Portugal,13/12/2010,89,1987,1303
Waffle Stix,China,22/6/2013,35,413,1208
Coffee Cup 16oz Foam,Palestinian Territory,26/7/2016,353,7324,1190
"Nut - Cashews, Whole, Raw",Belarus,23/8/2009,317,8638,1139
Vinegar - Raspberry,Mongolia,8/6/2001,456,9311,1396
Muffin Mix - Lemon Cranberry,Cuba,7/12/2002,116,3088,1401
Sauce - Fish 25 Ozf Bottle,Philippines,9/10/2017,205,5312,1097
Apricots Fresh,South Africa,5/11/2014,398,5857,1420
Beets - Mini Golden,Philippines,19/7/2020,192,3583,1450
Juice - Lime,Yemen,19/9/2010,219,2582,1474
"Pasta - Tortellini, Fresh",Indonesia,3/5/2009,75,1914,1155
"Juice - V8, Tomato",Peru,25/4/2015,312,6095,1366
Cabbage - Nappa,Serbia,8/7/2015,369,5324,1294
Mint - Fresh,Portugal,15/5/2008,254,2775,1317
Aspic - Amber,Indonesia,4/4/2011,290,4130,1385
"Pail - 4l White, With Handle",Poland,4/1/2009,263,6767,1499
"Trout - Hot Smkd, Dbl Fillet",Indonesia,26/1/2003,463,12989,1117
Pork Loin Bine - In Frenched,Japan,27/9/2003,,25050,1493
"Radish - Black, Winter, Organic",South Korea,23/8/2007,198,5875,1464
Lidsoupcont Rp12dn,Azerbaijan,22/6/2020,217,4287,1170
Beets - Pickled,Poland,8/1/2004,350,4824,1087
Wine - Semi Dry Riesling Vineland,Philippines,5/8/2019,390,13599,1286
Crab - Meat,Paraguay,20/11/2007,251,2728,1363
"Pasta - Penne Primavera, Single",Philippines,25/12/2009,206,7003,1371
Bread - Hot Dog Buns,Syria,6/11/2014,388,8196,1167
Vinegar - Tarragon,Russia,23/9/2016,95,1548,1214
Cheese - Swiss,United States,21/3/2007,246,3528,1179
"Wine - Red, Gamay Noir",Nicaragua,28/12/2009,,7976,1131
"Tart Shells - Savory, 3",Indonesia,31/10/2005,54,1124,1356
Skewers - Bamboo,Philippines,7/9/2017,356,6211,1481
Sobe - Berry Energy,Poland,24/1/2003,153,2971,1182
Beef - Tenderloin,Mexico,19/5/2003,261,4740,1476
Bagel - Whole White Sesame,South Africa,14/7/2018,297,7520,1062
Cream - 35%,China,12/2/2002,72,808,1237
Eggplant - Regular,Indonesia,20/6/2006,279,4810,1193
Tomatoes - Yellow Hot House,Philippines,20/7/2016,315,8991,1395
Beef - Top Sirloin - Aaa,United Kingdom,21/9/2013,64,1444,1253
Mushroom - Portebello,China,2/5/2011,-18,2114,1027
Cake - Miini Cheesecake Cherry,United States,18/1/2018,361,11706,1354
Extract - Almond,Brazil,9/5/2016,50,873,1235
Energy Drink,China,6/6/2003,433,5048,1077
Wine - White Cab Sauv.on,Croatia,20/8/2011,433,9460,1388
Tea - Orange Pekoe,Guatemala,25/12/2008,298,5759,1197
Bar - Granola Trail Mix Fruit Nut,Poland,3/6/2016,174,5397,1079
Cake Sheet Combo Party Pack,Philippines,19/12/2004,349,9530,1129
Pastry - Apple Large,China,24/5/2001,576,11414,1320
"Chocolate - Milk, Callets",Philippines,5/4/2015,381,10118,1180
Crackers - Soda / Saltins,Japan,27/4/2020,322,7611,1453
"Roe - Lump Fish, Black",Czech Republic,28/11/2019,359,7236,1065
Cookies - Amaretto,China,7/7/2002,126,2399,1464
Carbonated Water - Raspberry,Iran,8/10/2004,232,6064,1406
Lettuce - Boston Bib - Organic,China,9/1/2015,241,6976,1255
Tequila - Sauza Silver,China,17/10/2007,,11492,1217
Beer - Camerons Auburn,Philippines,17/9/2008,160,3512,1024
Amarula Cream,Brazil,10/5/2013,172,2101,1253
Foil - 4oz Custard Cup,China,2/3/2013,174,4163,1409
Broom - Push,China,2/4/2019,149,1647,1339
Crab - Meat,China,18/5/2017,234,2363,1341
Yoplait Drink,Indonesia,21/1/2006,325,4033,1152
"Salmon - Atlantic, Fresh, Whole",China,14/12/2008,184,5909,1269
Chocolate - Chips Compound,China,29/9/2018,399,9620,1273
Goldschalger,Indonesia,18/2/2011,364,4419,1052
Plasticforkblack,United Kingdom,1/2/2004,468,7242,1473
Table Cloth 62x114 White,Czech Republic,20/1/2017,263,5887,1186
Gatorade - Xfactor Berry,Portugal,23/8/2007,310,7447,1337
Chocolate Bar - Coffee Crisp,Indonesia,5/8/2009,403,11425,1344
Chicken - Livers,Senegal,28/1/2002,151,2347,1031
Wine - Cava Aria Estate Brut,Argentina,15/7/2017,133,3641,1391
"Lemonade - Mandarin, 591 Ml",Democratic Republic of the Congo,9/4/2014,87,2131,1361
Eggwhite Frozen,China,26/2/2011,496,7605,1352
Icecream - Dibs,Colombia,14/4/2015,251,3938,1130
Cheese - Pied De Vents,Pakistan,20/8/2001,322,7557,1061
Veal - Osso Bucco,Peru,22/10/2011,195,3264,1121
Veal - Slab Bacon,China,6/5/2003,242,3971,1059
"Syrup - Monin, Amaretta",Dominican Republic,5/12/2015,276,6340,1150
Rice Wine - Aji Mirin,Colombia,24/6/2012,252,4990,1447
Lettuce Romaine Chopped,Somalia,19/5/2019,143,3059,1315
"Lamb - Shoulder, Boneless",Croatia,2/2/2014,209,4984,1281
Table Cloth 144x90 White,Poland,29/12/2004,330,7665,1398
Eggplant Oriental,Philippines,1/4/2014,253,4518,1323
"Soda Water - Club Soda, 355 Ml",South Africa,19/12/2018,606,19997,1138
Muffin - Mix - Bran And Maple 15l,Greece,27/11/2003,208,6915,1122
"Pork - Butt, Boneless",United States,30/5/2004,310,6493,1226
Cheese - Valancey,Swaziland,17/7/2016,398,7377,1432
Coffee - Decafenated,China,2/2/2003,195,4170,1270
Muffin Batt - Blueberry Passion,United States,15/3/2008,333,9869,1455
Garbag Bags - Black,China,17/7/2018,337,6497,1101
Celery Root,Portugal,16/1/2006,261,3052,1448
Pork Loin Bine - In Frenched,Azerbaijan,14/9/2005,108,3188,1472
Bread - Mini Hamburger Bun,China,28/6/2004,156,3887,1402
Soup Knorr Chili With Beans,China,29/9/2018,301,7621,1089
Cheese - Montery Jack,United States,18/9/2002,339,6543,1264
Pastry - Mini French Pastries,China,8/10/2012,91,2389,1354
Cake - Cake Sheet Macaroon,Indonesia,3/6/2001,419,10000,1350
Sponge Cake Mix - Chocolate,Philippines,8/8/2006,,24800,1206
Bread - Wheat Baguette,Peru,16/8/2011,121,2793,1200
Capicola - Hot,Indonesia,31/3/2007,311,4329,1204
Cheese - Wine,Afghanistan,11/12/2009,42,596,1066
Apples - Sliced / Wedge,China,30/10/2011,143,3070,1000
"Doilies - 7, Paper",Peru,17/10/2017,295,5222,1231
Cucumber - English,Colombia,5/2/2009,527,8766,1067
Island Oasis - Pina Colada,Indonesia,8/10/2005,529,13623,1223
Piping Jelly - All Colours,Senegal,13/2/2015,225,6147,1181
Mahi Mahi,China,10/7/2002,373,3069,1055
Cheese - Blue,Panama,29/9/2015,167,2052,1291
Olives - Kalamata,Vietnam,24/12/2002,95,1557,1253
Sole - Iqf,Philippines,13/12/2007,303,3179,1118
Muffin - Mix - Bran And Maple 15l,Portugal,16/12/2001,163,5081,1124
Goldschalger,China,10/1/2017,77,842,1303
Sauce - Vodka Blush,Indonesia,3/3/2017,167,3248,1277
Wine - Merlot Vina Carmen,South Korea,7/4/2006,112,2686,1032
Garlic - Elephant,Poland,19/6/2011,450,7896,1405
Wine - Balbach Riverside,Philippines,23/7/2017,87,2142,1270
Tea - Lemon Green Tea,Peru,13/1/2011,225,4547,1267
Ginsing - Fresh,China,1/10/2005,432,6473,1233
Wine - Zinfandel California 2002,Russia,19/6/2001,257,8350,1376
Peach - Halves,South Korea,25/5/2015,335,4353,1047
"Lentils - Green, Dry",Canada,4/9/2005,272,5452,1005
Soup - Tomato Mush. Florentine,Poland,13/1/2005,156,4350,1259
Noodles - Steamed Chow Mein,Syria,2/4/2020,72,1951,1094
Venison - Ground,Indonesia,8/4/2008,264,4122,1067
Pastry - Trippleberry Muffin - Mini,Portugal,2/9/2017,447,16431,1328
Sauce - Thousand Island,Hungary,17/10/2012,339,7765,1445
Shallots,China,8/6/2003,350,2824,1286
"Cherries - Bing, Canned",Poland,28/2/2010,151,3796,1485
Muffin Hinge - 211n,Kazakhstan,26/8/2004,222,4372,1397
Chevere Logs,Yemen,7/10/2019,305,3858,1054
"Tomatoes - Cherry, Yellow",China,20/10/2002,225,5212,1286
"Bread - Pullman, Sliced",Indonesia,24/12/2017,413,10239,1385
Chef Hat 20cm,Mexico,28/2/2001,354,4939,1421
"Iced Tea - Lemon, 460 Ml",Netherlands,14/1/2006,561,14541,1208
Pears - Anjou,Poland,25/10/2017,273,3409,1185
Nougat - Paste / Cream,Colombia,8/11/2011,79,1635,1055
"Pork - Bacon, Sliced",Brazil,8/7/2014,375,6799,1479
Cheese - Brie,China,6/11/2001,217,2687,1477
"Sauce - Soya, Dark",China,25/10/2010,264,5164,1199
"Pasta - Linguini, Dry",Philippines,17/12/2002,302,6939,1166
Foam Tray S2,Thailand,3/3/2001,241,2778,1448
Bar Bran Honey Nut,Czech Republic,22/4/2006,338,6118,1044
Chick Peas - Dried,United States,16/7/2013,349,6459,1249
Onions - White,China,24/1/2018,281,3782,1280
Sprouts - Alfalfa,China,28/1/2004,292,5020,1135
Kahlua,Azerbaijan,20/11/2007,389,2490,1276
Wine - Barossa Valley Estate,Cuba,20/8/2013,215,6129,1450
Mince Meat - Filling,Netherlands,20/5/2016,142,3013,1140
"Oil - Food, Lacquer Spray",Greece,8/11/2009,621,14292,1188
Waffle Stix,Japan,21/5/2007,14,156,1300
Mustard Prepared,Argentina,5/2/2007,67,1066,1063
Wine - Riesling Dr. Pauly,Indonesia,6/9/2002,220,5616,1177
"Salmon - Atlantic, Skin On",Russia,6/5/2015,351,8560,1037
Lid - 0090 Clear,Brazil,28/6/2015,281,4800,1391
Soy Protein,Madagascar,6/1/2001,62,650,1246
Wasabi Powder,Cyprus,25/5/2007,271,3180,1187
Yogurt - Plain,France,1/11/2015,213,2955,1270
Tea - Orange Pekoe,Colombia,26/11/2004,216,3577,1316
"Pasta - Detalini, White, Fresh",China,11/10/2017,510,16568,1258
Cornish Hen,United States,12/10/2016,257,3064,1057
Venison - Racks Frenched,Philippines,20/12/2008,186,4707,1256
"Cheese - Romano, Grated",China,11/4/2013,217,5188,1020
Bread Ww Cluster,Brazil,10/1/2015,279,4703,1091
"Doilies - 7, Paper",United States,6/11/2006,,10639,1041
Flour - Strong,Indonesia,3/2/2017,351,4943,1426
"Chicken - Leg, Boneless",Uganda,8/12/2005,,17391,1451
Duck - Whole,Ukraine,13/9/2011,331,4343,1310
Wine - Fontanafredda Barolo,Gambia,21/3/2017,448,12416,1212
Muffin - Mix - Bran And Maple 15l,Indonesia,3/2/2014,197,6076,1056
Napkin White - Starched,China,4/1/2011,98,2151,1306
Rosemary - Fresh,China,6/12/2016,258,4255,1063
Boogies,Benin,24/1/2011,202,1274,1313
Ginger - Crystalized,China,18/11/2006,281,5141,1252
Nougat - Paste / Cream,France,21/1/2018,8,166,1206
Salmon Steak - Cohoe 8 Oz,China,24/5/2012,298,6797,1063
Lettuce - Red Leaf,Uruguay,15/5/2015,143,2540,1018
Crush - Cream Soda,Philippines,20/12/2006,182,3491,1299
"Wine - White, Chardonnay",Portugal,1/12/2012,290,6953,1256
Pepper - Chilli Seeds Mild,Russia,15/2/2006,429,11255,1081
"Rum - Cream, Amarula",Russia,17/8/2001,156,3340,1251
Rosemary - Fresh,Philippines,29/7/2015,368,6274,1480
"Peas - Pigeon, Dry",Philippines,21/1/2011,431,7639,1374
Yoghurt Tubes,Indonesia,5/4/2018,545,7425,1096
"Chicken - Thigh, Bone In",Ukraine,12/9/2014,166,4206,1435
Sugar - Icing,Ukraine,20/2/2020,311,3727,1064
Pastry - French Mini Assorted,Indonesia,23/3/2007,434,12701,1250
Soup - Tomato Mush. Florentine,Syria,5/8/2015,325,9533,1377
Kellogs Raisan Bran Bars,Israel,14/3/2011,272,7167,1192
Wine - Remy Pannier Rose,Philippines,28/4/2003,51,1245,1264
Cheese - Shred Cheddar / Mozza,Russia,25/2/2016,215,7039,1198
Soup V8 Roasted Red Pepper,Georgia,26/5/2002,267,6647,1158
Salt - Seasoned,Poland,14/11/2017,194,2975,1489
"Veal - Brisket, Provimi, Bone - In",Indonesia,12/5/2015,94,3394,1232
Energy Drink,Kyrgyzstan,16/3/2006,114,1402,1343
Wheat - Soft Kernal Of Wheat,China,12/7/2012,382,11697,1278
Eel Fresh,Brazil,29/1/2018,308,2935,1233
Bread - Petit Baguette,Philippines,15/5/2019,189,4321,1175
Wine - Ice Wine,Russia,30/10/2008,270,4307,1114
Pineapple - Regular,Seychelles,21/9/2001,341,7101,1009
Dip - Tapenade,Japan,27/11/2015,319,4661,1485
Oranges,Mali,6/5/2005,208,1585,1248
Longos - Chicken Cordon Bleu,Azerbaijan,25/10/2020,398,11433,1107
"Beef - Tenderlion, Center Cut",Venezuela,8/3/2020,197,6141,1191
Pasta - Agnolotti - Butternut,China,25/8/2015,197,5238,1398
"C - Plus, Orange",China,10/11/2019,288,4666,1186
Lotus Root,Russia,17/10/2020,-11,1730,1194
Wine - Magnotta - Cab Sauv,Canada,19/9/2019,,14715,1093
Pie Filling - Pumpkin,Philippines,26/2/2007,-2,23110,1001
"Bread - Bagels, Mini",Canada,31/10/2013,256,5441,1021
Gooseberry,China,30/8/2004,237,2516,1489
Tomatoes - Cherry,France,7/10/2005,214,3534,1256
Soup - Base Broth Chix,Russia,12/8/2003,-38,13717,1014
Onions Granulated,Russia,26/7/2006,137,2402,1224
Pancetta,Indonesia,19/4/2016,294,2334,1259
Wine - Tribal Sauvignon,Indonesia,23/9/2004,340,8043,1467
Eggplant Italian,Portugal,19/12/2006,262,4233,1186
Seaweed Green Sheets,Cameroon,29/3/2018,295,5498,1435
Flour - Masa De Harina Mexican,Thailand,22/8/2003,297,8923,1288
Yoplait Drink,Philippines,11/3/2007,186,2270,1304
Mix - Cappucino Cocktail,China,21/5/2018,229,5553,1196
"Cup - 3.5oz, Foam",Russia,12/4/2001,422,7191,1218
Cake - Miini Cheesecake Cherry,Thailand,6/7/2005,11,305,1058
"Corn - Cream, Canned",Indonesia,30/6/2018,379,8122,1352
Chicken - White Meat With Tender,Croatia,30/7/2002,290,8395,1362
"Wine - Red, Pinot Noir, Chateau",France,8/11/2019,222,6532,1270
"Wine - White, Schroder And Schyl",Poland,28/11/2007,261,8003,1466
"Bar Mix - Pina Colada, 355 Ml",Russia,21/9/2013,308,9439,1283
Figs,Vietnam,11/5/2003,335,1444,1220
Mousse - Mango,Colombia,6/8/2009,125,1868,1325
Sugar - White Packet,Serbia,10/8/2010,22,453,1324
"Nut - Hazelnut, Ground, Natural",Albania,30/7/2011,420,13221,1443
"Butter - Salted, Micro",China,4/7/2009,223,4574,1204
Beef - Prime Rib Aaa,Jamaica,6/4/2002,368,6908,1297
Wine - Gewurztraminer Pierre,China,1/5/2008,99,2847,1118
Veal - Leg,China,5/9/2005,449,4899,1412
