Artwork ID,Title,Artist ID,Name,Date,Medium,Dimensions,Acquisition Date,Credit,Catalogue,Department,Classification,Object Number,Diameter (cm),Circumference (cm),Height (cm),Length (cm),Width (cm),Depth (cm),Weight (kg),Duration (s)
382,"Parc de la Villette Project, Paris, France, Planetary/Water Strip",6953,Zaha Hadid,1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,357.1996.7,,,29.8451,,41.9101,,,
383,"Parc de la Villette Project, Paris, France, Planetary/Water Strip",6953,Zaha Hadid,1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,357.1996.8,,,29.8451,,41.9101,,,
384,"Parc de la Villette Project, Paris, France, Jogging Track",6953,Zaha Hadid,1982-83,Color pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,357.1996.9,,,29.8451,,41.9101,,,
386,"City Tower, project, Philadelphia, Pennsylvania, Perspective",2964,Louis I. Kahn,1952-53,Ink and graphite on tracing paper,"8 1/2 x 10 3/4"" (21.6 x 27.3 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,359.1967,,,37.5,,47.6,,,
387,"Re-ruined Hiroshima, Hiroshima, Japan (Perspective)",2837,Arata Isozaki,1990,Silkscreen after a photo collage original,"34 3/4 x 117"" (88.3 x 297.2 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,359.1996,,,98.5,,307.4,5.7,,
388,"Friedrichstrasse Skyscraper, project, Berlin-Mitte, Germany, Elevation study",7166,Ludwig Mies van der Rohe,1921,Charcoal and graphite on brown paper mounted on board,"21 3/4 x 34 1/2"" (55.3 x 87.6 cm)",1966-05-10,"Mies van der Rohe Archive, gift of Mary Callery",Y,Architecture & Design,Mies van der Rohe Archive,360.1966,,,55.3,,87.6,,90.7194,
389,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective sketch",2964,Louis I. Kahn,1957,Charcoal and graphite on tracing paper,"12 x 18 1/8"" (30.5 x 46 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,360.1967,,,30.5,,46,,,
390,"Exodus, or the Voluntary Prisoners of Architecture: Prologue","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Gelatin silver photographs on board,"16 1/4 x 11 1/2"" (41.3 x 29.2 cm)
",1996-02-25,"Patricia Phelps de Cisneros Purchase Fund, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,360.1996,,,46.4,,34,,,
391,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective sketches",2964,Louis I. Kahn,1956-57,Ink and graphite on tracing paper,"15 x 21"" (38.1 x 53.3 cm)",1967-04-01,Gift of the architect,Y,Architecture & Design,Architecture,361.1967,,,38.1001,,53.3401,,,
392,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,"Cut-and-pasted gelatin silver photographs and photolihtographs with ink, crayon, and felt-tipped pen on paper","16 x 11 1/2"" (40.6 x 29.2 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,361.1996,,,46,,33.3,,,
393,"Endless Theatre Project, Plan",3091,Frederick Kiesler,1924,Print mounted on board,"83 x 84"" (210.8 x 213.4 cm)",1966-05-10,Gift of the architect,Y,Architecture & Design,Architecture,362.1966,,,210.8204,,213.3604,,,
394,"Market Street East Studies, project, Philadelphia, Pennsylvania, Perspective",2964,Louis I. Kahn,1962,Ink and graphite on tracing paper,"12 1/4 x 19 7/8"" (31.1 x 50.5 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,362.1967,,,31.1,,50.5,,,
396,"Endless Theatre Project, Plan",3091,Frederick Kiesler,1924,Print mounted on board,"77 1/2 x 84"" (196.9 x 213.4 cm)",1966-05-10,Gift of the architect,Y,Architecture & Design,Architecture,363.1966,,,196.8504,,213.3604,,,
397,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Plans and elevations of service towers, preliminary version",2964,Louis I. Kahn,1957,"Crayon, graphite, and colored pencil on tracing paper","12 x 20 1/4"" (30.5 x 51.4 cm)",1967-04-01,Gift of the architect,Y,Architecture & Design,Architecture,363.1967,,,30.5,,51.4,,,
399,"Endless Theater Project, Section",3091,Frederick Kiesler,1924,Diazotype,"46 3/4 x 101"" (118.7 x 256.5 cm)",1966-05-10,Gift of the architect,Y,Architecture & Design,Architecture,364.1966,,,118.7452,,256.5405,,,
400,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Phidadelphia, Pennsylvania, Plan",2964,Louis I. Kahn,1957,"Crayon, graphite and colored pencil on tracing paper","21 5/8 x 23 1/2"" (54.9 x 59.7 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,364.1967,,,54.9276,,59.6901,,,
401,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Gelatin silver photograph with color ink,"10 1/2 x 14 1/2"" (26.7 x 36.8 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,364.1996,,,30.8,,41.6,,,
402,"Place de la Concorde Project, Paris, France, Elevation",3091,Frederick Kiesler,1925,Print mounted on board,"36 1/4 x 76 1/2"" (92.1 x 194.3 cm)",1966-05-10,Gift of the architect,Y,Architecture & Design,Architecture,365.1966,,,92.0752,,194.3104,,,
403,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennslylvania, Philadelphia, Pennsylvania, Preliminary version: perspective",2964,Louis I. Kahn,1957,Charcoal on tracing paper,"23 7/8 x 31"" (60.6 x 78.7 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,365.1967,,,60.6,,78.7402,,,
404,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"16 3/8 x 11 1/4"" (41.6 x 28.6 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,365.1996,,,46,,33.3,,,
405,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Elevation",2964,Louis I. Kahn,1957,Charcoal and color crayon on tracing paper,"35 x 11 3/8"" (88.9 x 28.9 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,366.1967,,,88.9,,28.9,,,
406,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Cut-and-pasted photolithographs and gelatin photograph on paper,"10 5/8 x 14 1/2"" (27 x 36.8 cm)
",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,366.1996,,,31.8,,41.3,,,
407,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Perspective",2964,Louis I. Kahn,1957,Charcoal and color pencil on tracing paper,"24 3/8 x 35"" (61.9 x 88.9 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,367.1967,,,61.9,,88.9,,,
408,"Exodus, or the Voluntary Prisoners of Architecture: The Tip of the Strip","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"11 3/8 x 16 1/2"" (28.9 x 41.9 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,367.1996,,,46,,33.3,,,
409,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Perspective",2964,Louis I. Kahn,1957,"Crayon, graphite, colored pencil and ink on tracing paper","23 x 32 7/8"" (58.4 x 83.5 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,368.1967,,,58.4,,83.5,,,
410,"Exodus, or the Voluntary Prisoners of Architecture: The Baths (Axonometric projection)","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"11 1/2 x 16 3/8"" (29.2 x 41.6 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,368.1996,,,33,,45.7,,,
411,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Exterior perspective, final version",2964,Louis I. Kahn,1960,Graphite on tracing paper,"23 x 23 1/2"" (58.4 x 59.7 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,369.1967,,,58.4,,59.7,,,
412,"Times Square Tower Project, New York, NY, Exterior perspective",47,Raimund Abraham,1984,Graphite and colored pencil on cut-and-pasted papers on sepia diazoprint,"33 1/2 x 25 1/2"" (85.1 x 64.8 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,369.1994,,,85.0902,,64.7701,,,
413,"Exodus, or the Voluntary Prisoners of Architecture: The Baths","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,"Cut-and-pasted paper, photolithograph, and gelatin silver photographs with ink on paper","16 1/8 x 11 1/2"" (41 x 29.2 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,369.1996,,,46,,33.3,,,
414,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Plan sketch",2964,Louis I. Kahn,1958,Crayon on tracing paper,"12 x 21"" (30.5 x 53.3 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,370.1967,,,30.4801,,53.3401,,,
415,"Casa de Retiro Espiritual, Córdoba, Spain, Aerial axonometric",141,Emilio Ambasz,1979,Airbrush and graphite on gelatin silver photograph mounted on foamcore,"30 5/8 x 25 15/16"" (77.8 x 65.9 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,370.1994,,,77.8,,65.9,,,
416,"Exodus, or the Voluntary Prisoners of Architecture: The Square of the Muses","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,"Graphite, watercolor, and gouache on paper","11 1/2 x 16 3/8"" (29.2 x 41.6 cm)
",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,370.1996,,,33.7,,45.7,,,
417,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",2964,Louis I. Kahn,1958,Graphite on tracing paper,"17 7/8 x 25 1/2"" (45.4 x 64.8 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,371.1967,,,45.4,,64.8,,,
418,"Casa de Retiro Espiritual, Córdoba, Spain (Axonometric)",141,Emilio Ambasz,1979,Airbrush and graphite on paper mounted on foamcore,"24 x 25 1/2"" (61x  64.8 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,371.1994,,,61,,64.8,,,
419,"Exodus, or the Voluntary Prisoners of Architecture: The Institute of Biological Transactions (Plan oblique)","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"11 3/8 x 16 1/2"" (28.9 x 41.9 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,371.1996,,,33,,45.7,,,
420,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Entrance elevation sketch",2964,Louis I. Kahn,1958,Crayon on tracing paper,"12 x 18 3/8"" (30.5 x 46.7 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,372.1967,,,30.5,,46.7,,,
421,"Project for a Painted Wall, New York City, New York (Perspective)",1318,Jason Crum,1969,Gouache on photograph,"20 x 27 1/2"" (50.8 x 69.9 cm)",1969-04-24,Purchase,Y,Architecture & Design,Architecture,372.1969,,,50.8,,69.9,,,
422,"Casa de Retiro Espiritual, Córdoba, Spain (Section)",141,Emilio Ambasz,1979,"Airbrush, graphite on paper mounted on foamcore","24 x 25 1/2"" (61 x 64.8 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,372.1994,,,61,,64.8,,,
423,"Exodus, or the Voluntary Prisoners of Architecture: The Park of Aggression","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"16 1/2 x 11 3/8"" (41.9 x 28.9 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,372.1996,,,45.7,,33.3,,,
424,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",2964,Louis I. Kahn,1958,Graphite on tracing paper,"11 3/4 x 18 1/8"" (29.8 x 46 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,373.1967,,,29.8,,46,,,
425,"Project for a Painted Wall, New York City, New York (Perspective)",1318,Jason Crum,1969,Gouache on photograph,"30 x 20"" (76.2 x 50.8 cm)",1969-04-24,Purchase,Y,Architecture & Design,Architecture,373.1969,,,76.2,,50.8,,,
426,"Chikatsu-Asuka Historical Museum, Minami-Kawachi, Osaka, Japan, Perspective sketch",7055,Tadao Ando,1991,Crayon on mulberry paper,"11 7/8 x 18 11/16"" (30.2 x 47.5 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,373.1994,,,30.2,,47.5,,,
427,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area (Plan)","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"11 1/2 x 16 3/8"" (29.2 x 41.6 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,373.1996,,,33.3,,45.7,,,
428,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",2964,Louis I. Kahn,1958,Graphite on tracing paper,"17 7/8 x 29 1/2"" (45.4 x 74.9 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,374.1967,,,45.4,,74.9,,,
429,"Project for a Painted Wall, Fox Department Store, Hartford, Connecticut (Perspective)",1318,Jason Crum,1969,Gouache on photograph,"13 3/4 x 16 7/8"" (34.9 x 42.9 cm)",1969-04-24,Purchase,Y,Architecture & Design,Architecture,374.1969,,,34.9,,42.9,,,
430,"The Tokyo Design Center, Tokyo, Japan, Perspective",451,Mario Bellini,1989,Ink on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)
",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,374.1994,,,29.8,,41.9,,,
431,"Exodus, or the Voluntary Prisoners of Architecture: The Allotments","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,"Cut-and-pasted paper, marbleized paper, and photolithographs with ink and watercolor on paper","11 1/2 x 16 1/2"" (29.2 x 41.9 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,374.1996,,,33.3,,46,,,
432,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",2964,Louis I. Kahn,1958,Graphite on tracing paper,"12 x 28 1/4"" (30.5 x 71.8 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,375.1967,,,30.5,,71.8,,,
433,Airplane Hangar Project (Roof plan),6201,Konrad Wachsmann,1963,Lithograph,,1969-04-24,Gift of Ivan Chermayeff,Y,Architecture & Design,Architecture,375.1969,,,,,,,,
434,"Town Plan Project, Kobe, Japan, Site plan",632,Ricardo Bofill,1994,Lithograph,"22 1/4 x 30"" (56.5 x 76.2 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,375.1994,,,56.5,,76.2,,,
435,"Exodus, or the Voluntary Prisoners of Architecture: The Allotments","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Cut-and-pasted photolithographs on paper,"11 1/2 x 15 3/4"" (29.2 x 40 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,375.1996,,,33.7,,44.5,,,
436,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",2964,Louis I. Kahn,1958,Crayon on tracing paper,"12 x 25 1/4"" (30.5 x 64.1 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,376.1967,,,30.5,,64.1,,,
437,"San Francisco Museum of Modern Art, San Francisco, California, Exterior elevation",696,Mario Botta,1994,Charcoal on paper,"20 x 28 3/4"" (50.8 x 73 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,376.1994,,,50.8,,73,,,
438,"Exodus, or the Voluntary Prisoners of Architecture: The Avowal","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Cut-and-pasted photolithographs and gelatin silver photographs with ink and watercolor on paper,"11 3/8 x 16"" (28.9 x 40.6 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,376.1996,,,33,,45.7,,,
439,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Entrance elevation sketch",2964,Louis I. Kahn,1958,Crayon on tracing paper,"12 x 13 1/2"" (30.5 x 34.3 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,377.1967,,,30.5,,34.3,,,
440,"Slow House Project, North Haven, Long Island, New York, Perspective and plans of TV in Picture Window Apparatus","8707, 6951, 6952","Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio",1991,Cut-and-pasted color electrostatic prints and graphite on frosted polymer sheet taped to board with cut-and-pasted color photograph,"12 3/8 x 18 3/8"" (31.4 x 46.7 cm)",1994-09-21,Gift of the architects in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,377.1994,,,31.4,,46.7,,,
441,"Exodus, or the Voluntary Prisoners of Architecture: The Allotments","6956, 7558, 6957, 7559","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1972,Graphite and watercolor on paper,"11 3/8 x 16 3/8"" (28.9 x 41.6 cm)",1996-09-25,"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",Y,Architecture & Design,Architecture,377.1996,,,33.3,,46.1,,,
442,"First Unitarian Church and School, Rochester, New York, Plan and elevation sketches",2964,Louis I. Kahn,1959,Graphite on paper,"18 x 21 1/4"" (45.7 x 54 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,378.1967,,,45.7,,54,,,
443,"Les Espaces d'Abraxas: Le Palacio, Le Theatre, L'Arc, Marne-la-Vallée, France, Le Palacio: elevation",632,Ricardo Bofill,1979,"Collage, graphite, marker, and ink on brown print","25 x 54 1/4"" (63.5 x 137.8 cm)",1985-11-18,Marshall Cogan Purchase Fund,Y,Architecture & Design,Architecture,378.1985,,,63.5,,137.8,,,
444,"University of Toledo Center for the Visual Arts, Toledo, Ohio, Exterior perspective",2108,Frank O. Gehry,1990,Ink on paper,"9 x 12"" (22.9 x 30.5 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,378.1994,,,22.9,,30.5,,,
445,"Building over Motorway Project, London, England, Perspectives",3250,Leon Krier,1969,Ink on paper,"19 x 15 5/8"" (48.3 x 39.7 cm) (frame)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,378.1996,,,48.2601,,39.6876,,,
446,"First Unitarian Church and School, Rochester, New York, Roof-structure and light-element sketches",2964,Louis I. Kahn,1969,Graphite on tracing paper,"12 x 25"" (30.5 x 63.5 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,379.1967,,,30.5,,63.5,,,
447,"Les Espaces d'Abraxas: Le Palacio, Le Theatre, L'Arc, Marne-la-Vallée, France, Le Palacio: elevation",632,Ricardo Bofill,1979,"Collage, graphite, marker, and ink on brown print","24 3/8 x 54"" (61.9 x 137.2 cm)",1985-11-18,Marshall Cogan Purchase Fund,Y,Architecture & Design,Architecture,379.1985,,,61.9,,137.2,,,
448,"Video Clip Folly Project, Groningen, The Netherlands, Exterior perspective","7572, 7573","Wolf D. Prix, Helmut Swiczinsky",1993,Graphite on spiral-bound notepad paper,"7 3/8 x 5 3/8"" (18.7 x 13.7 cm)",1994-09-21,Gift of the architects in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,379.1994,,,18.7,,13.7,,,
449,"House for Venice Biennale project, Venice, Italy (Title board: aerial view of model)",7528,Cesar Pelli,1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,379.1996,,,101.6002,,101.6002,,,
450,"First Unitarian Church and School, Rochester, New York, Roof-structure and light-element sketches",2964,Louis I. Kahn,1960,Graphite on tracing paper,"12 x 20 1/4"" (30.5 x 51.4 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,380.1967,,,30.5,,51.4,,,
451,"Les Espaces d'Abraxas: Le Palacio, Le Théâtre, L'Arc, Marne-la-Vallée, France, Le Theatre and L'Arc: facade detail",632,Ricardo Bofill,1979,Ink and colored pencil on tracing paper,"16 3/8 x 9 3/8"" (41.6 x 23.8 cm)",1985-11-18,Gift of Ricardo Bofill Taller de Arquitectura,Y,Architecture & Design,Architecture,380.1985,,,41.6,,23.8,,,
452,"Iris Dome Project, Interior perspective",7418,Chuck Hoberman,1994,Computer-generated print,"31 1/2 x 43 1/2"" (80 x 110.5 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,380.1994,,,80,,110.5,,,
453,"House for Venice Biennale, project, Venice, Italy, Axonometric",7528,Cesar Pelli,1976,Watercolor and ink on paper,"40 x 40"" (101.6 x 101.6 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,380.1996,,,101.6002,,101.6002,,,
454,"Salk Institute for Biological Studies, La Jolla, California, Perspective of meeting house",2964,Louis I. Kahn,1961,Graphite and crayon on paper,"23 7/8 x 31 1/2"" (67 x 80 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,381.1967,,,67,,80,,,
455,"New York Tower, project, New York,  New York, Plan",632,Ricardo Bofill,1985,Graphite on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",1985-11-18,Gift of Ricardo Bofill Taller de Arquitectura,Y,Architecture & Design,Architecture,381.1985,,,96.2,,96.2,,,
456,"Void Space/Hinge Space Housing, Fukuoka, Japan, Exterior perspective",2702,Steven Holl,1989,"Watercolor, black pencil, and graphite on paper","22 x 30"" (55.9 x 76.2 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,381.1994,,,55.9,,76.2,,,
457,"House for Venice Biennale project, Venice, Italy (Written analysis of project)",7528,Cesar Pelli,1976,Photostat on board,"40 x 40"" (101.6 x 101.6 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,381.1996,,,101.6002,,101.6002,,,
458,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California, Laboratory: elevation of studies",2964,Louis I. Kahn,1962,Charcoal on tracing paper,"15 x 21 1/2"" (38.1 x 54.6 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,382.1967,,,38.1,,54.6,,,
459,"New York Tower, project, New York, New York, Office plan",632,Ricardo Bofill,1985,Graphite on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",1985-11-18,Gift of Ricardo Bofill Taller de Arquitectura,Y,Architecture & Design,Architecture,382.1985,,,96.2,,96.2,,,
460,"Museum of Vulcanism, Saint-Ours-les-Roches, Auvergne, France, Exterior perspective",2705,Hans Hollein,1994,Graphite on electrostatic print,"11 3/4 x 15 15/16"" (29.8 x 40.5 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,382.1994,,,29.8,,40.5,,,
461,"House for Venice Biennale, project, Venice, Italy, Plans",7528,Cesar Pelli,1976,Color pencil and photostat on board,"40 x 40"" (101.6 x 101.6 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,382.1996,,,102.6,,102.6,,,
462,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California, Laboratory: elevation of studies",2964,Louis I. Kahn,1962,Charcoal on tracing paper,"24 1/8 x 12"" (61.3 x 30.5 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,383.1967,,,61.3,,30.5,,,
463,"New York Tower, project, New York, New York, Exterior perspective",632,Ricardo Bofill,1985,Colored pencil on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",1985-11-18,Gift of Ricardo Bofill Taller de Arquitectura,Y,Architecture & Design,Architecture,383.1985,,,96.2,,96.2,,,
464,"The Completion of Washington, D.C. Project, Washington, D.C., Perspective",3250,Leon Krier,1984,Ink and graphite on tracing paper,"8 1/4 x w. 11 1/4"" (21 x 28.6 cm)",1994-09-21,Gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,383.1994,,,21,,28.6,,,
465,"House for Venice Biennale project, Venice, Italy (Aerial views)",7528,Cesar Pelli,1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",1996-09-25,Gift of the architect in honor of Philip Johnson,Y,Architecture & Design,Architecture,383.1996,,,101.6002,,101.6002,,,
466,"Salk Institute for Biological Studies (Laboratory, Meeting House, and Housing), La Jolla, California, Laboratory: perspective",2964,Louis I. Kahn,1962,Charcoal on tracing paper,"19 1/2 x 38 3/4""  (49.5 x 98.4 cm)",1967-04-11,Gift of the architect,Y,Architecture & Design,Architecture,384.1967,,,49.5,,98.4,,,
